# Quarter-end close prices from Stooq
ticker,period,close
MITT,2024-09-30,7.51
MITT,2024-12-31,6.65
MITT,2025-03-31,7.3
MITT,2025-06-30,7.55
MITT,2025-09-30,7.24
MITT,2025-12-31,8.52
MITT,2026-03-31,7.42
NLY,2005-03-31,18.3897
NLY,2005-06-30,17.5758
NLY,2005-09-30,12.6946
NLY,2005-12-31,10.7246
NLY,2006-03-31,11.9002
NLY,2006-06-30,12.5583
NLY,2006-09-30,12.8814
NLY,2006-12-31,13.6364
NLY,2007-03-31,15.1763
NLY,2007-06-30,14.1362
NLY,2007-09-30,15.6164
NLY,2007-12-31,17.8218
NLY,2008-03-31,15.0179
NLY,2008-06-30,15.2057
NLY,2008-09-30,13.1845
NLY,2008-12-31,15.5578
NLY,2009-03-31,13.597
NLY,2009-06-30,14.8408
NLY,2009-09-30,17.7812
NLY,2009-12-31,17.0064
NLY,2010-03-31,16.8429
NLY,2010-06-30,16.8078
NLY,2010-09-30,17.2469
NLY,2010-12-31,17.5683
NLY,2011-03-31,17.7168
NLY,2011-06-30,18.9756
NLY,2011-09-30,18.1234
NLY,2011-12-31,17.9949
NLY,2012-03-31,18.4619
NLY,2012-06-30,20.233
NLY,2012-09-30,20.9103
NLY,2012-12-31,18.0428
NLY,2013-03-31,21.0076
NLY,2013-06-30,17.1441
NLY,2013-09-30,16.266
NLY,2013-12-31,14.4316
NLY,2014-03-31,16.3132
NLY,2014-06-30,17.4435
NLY,2014-09-30,16.7463
NLY,2014-12-31,17.4108
NLY,2015-03-31,17.2285
NLY,2015-06-30,15.7055
NLY,2015-09-30,17.3665
NLY,2015-12-31,17.0292
NLY,2016-03-31,19.1812
NLY,2016-06-30,21.2742
NLY,2016-09-30,20.7501
NLY,2016-12-31,20.2997
NLY,2017-03-31,23.2362
NLY,2017-06-30,25.8286
NLY,2017-09-30,26.7745
NLY,2017-12-31,26.7766
NLY,2018-03-31,24.1746
NLY,2018-06-30,24.5488
NLY,2018-09-30,25.1156
NLY,2018-12-31,24.8416
NLY,2019-03-31,26.0349
NLY,2019-06-30,24.4523
NLY,2019-09-30,24.245
NLY,2019-12-31,26.6356
NLY,2020-03-31,14.9457
NLY,2020-06-30,20.011
NLY,2020-09-30,22.3806
NLY,2020-12-31,27.271
NLY,2021-03-31,28.4676
NLY,2021-06-30,30.1154
NLY,2021-09-30,29.2866
NLY,2021-12-31,27.9486
NLY,2022-03-31,25.9285
NLY,2022-06-30,22.5688
NLY,2022-09-30,17.16
NLY,2022-12-31,21.08
NLY,2023-03-31,19.11
NLY,2023-06-30,20.01
NLY,2023-09-30,18.81
NLY,2023-12-31,19.37
NLY,2024-03-31,19.69
NLY,2024-06-30,19.06
NLY,2024-09-30,20.07
NLY,2024-12-31,18.3
NLY,2025-03-31,20.31
NLY,2025-06-30,18.82
NLY,2025-09-30,20.21
NLY,2025-12-31,22.36
NLY,2026-03-31,21.08
